---,Name,StarSystemName,PosX,PosY,SystemType,SpectralType,Luminosity,SubType,SystemStatus,ChargingStation,Orbitals,Habitable,Description,Cluster,ClusterOverlay,ClusterConstellation
150,150,Suzano,16.000000,-114.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
151,151,Masterson,3.000000,-187.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id=""MWFactionAsset:RepairSystem_10"")",None,None
152,152,Palos,51.000000,-126.000000,Normal,K,VI,7,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
153,153,Tikonov,104.000000,-43.000000,Normal,G,V,8,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
154,154,Fuentes,-74.000000,-147.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
155,155,Dromini,-21.000000,67.000000,Normal,K,IV,8,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
156,156,Towne,70.000000,8.000000,Normal,F,IV,8,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
157,157,New Hessen,85.000000,-57.000000,Normal,A,V,9,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_5"")",None,None
158,158,Keystone,-126.000000,-106.000000,Normal,F,V,6,Normal,Zenith,Unspecified,H_1Plus,,"(Id="""")",None,None
159,159,Nanking,23.000000,-52.000000,Normal,G,V,1,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:StoryCluster1"")",None,None
160,160,Bharat,59.000000,-42.000000,Normal,F,III,2,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
161,161,New Valencia,222.000000,-50.000000,Normal,G,V,4,Normal,Zenith,Unspecified,H_1Plus,,"(Id="""")",None,None
162,162,Sarpsborg,-150.000000,32.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
163,163,Alioth,-58.500000,14.000000,Normal,A,V,0,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
164,164,Zosma,-51.000000,-10.000000,Normal,A,V,4,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
165,165,Slocum,59.000000,-53.000000,Normal,G,III,7,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
166,166,Foochow,90.000000,-98.000000,Normal,F,V,4,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
167,167,Chara,-29.000000,6.000000,Normal,G,V,2,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
168,168,Liao,35.000000,-69.000000,Normal,K,V,2,Normal,Zenith,Unspecified,H_1Plus,,"(Id="""")",None,None
169,169,Murchison,75.000000,20.000000,Normal,G,IV,8,Normal,Zenith,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_8"")",None,None
170,170,Sadachbia,81.500000,37.500000,Normal,K,V,4,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
171,171,Crossing,255.000000,48.000000,Normal,G,V,4,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:DavionKurita_1"")",None,None
172,172,Arganda,-156.000000,36.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id=""MWFactionAsset:RebeliousLyranTerritory"")",None,None
173,173,Savannah,-80.000000,-47.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id=""MWFactionAsset:RepairSystem_27"")",/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneSection2/SafezoneCollision/Safezone8_Collision.Safezone8_Collision,/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneSection2/Safezone8.Safezone8
174,174,Elgin,2.000000,-51.000000,Normal,K,V,2,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
175,175,Addicks,72.000000,-1.000000,Normal,K,III,4,Normal,Zenith,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
176,176,Algot,87.000000,-83.000000,Normal,G,IV,2,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:RepairSystem_5"")",None,None
177,177,Dubhe,-70.000000,-17.500000,Binary,K,"III,V",0,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
178,178,Unukalhai,-47.000000,70.000000,Normal,K,V,2,Normal,None,Unspecified,H_1Plus,,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
179,179,Pleione,52.000000,-80.000000,Normal,M,VI,8,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
180,180,Shensi,54.000000,-93.000000,Normal,F,V,6,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
181,181,Al Na'ir,61.000000,31.000000,Normal,A,III,9,Normal,None,Unspecified,H_1Plus,,"(Id="""")",None,None
182,182,Kurhah,105.000000,57.000000,Normal,None,,0,Normal,None,Unspecified,Unspecified,,"(Id="""")",None,None
